Scenario,Week,Region,Level,id
Baseline,51,EAPP,13847473.8,1986
Baseline,52,EAPP,13964435.59,1986
Baseline,0,NAPP,142079.5275,1986
Baseline,1,NAPP,143019.3289,1986
Baseline,2,NAPP,144632.2364,1986
Baseline,3,NAPP,147747.8823,1986
Baseline,4,NAPP,150496.6673,1986
Baseline,5,NAPP,153421.315,1986
Baseline,6,NAPP,157313.097,1986
Baseline,7,NAPP,162437.4097,1986
Baseline,8,NAPP,165117.867,1986
Baseline,9,NAPP,167039.7272,1986
Baseline,10,NAPP,171125.1215,1986
Baseline,11,NAPP,177971.1682,1986
Baseline,12,NAPP,183034.8947,1986
Baseline,13,NAPP,185593.502,1986
Baseline,14,NAPP,187436.7134,1986
Baseline,15,NAPP,190220.5781,1986
Baseline,16,NAPP,193127.183,1986
Baseline,17,NAPP,197258.4094,1986
Baseline,18,NAPP,198642.4185,1986
Baseline,19,NAPP,197753.2388,1986
Baseline,20,NAPP,198316.8876,1986
Baseline,21,NAPP,197375.1529,1986
Baseline,22,NAPP,193339.2855,1986
Baseline,23,NAPP,189775.0864,1986
Baseline,24,NAPP,185182.2632,1986
Baseline,25,NAPP,181678.4824,1986
Baseline,26,NAPP,175524.1533,1986
Baseline,27,NAPP,167413.9787,1986
