Tech	ELECTRICITY	GASOLINE	DIESEL	LFO	NG	SLF	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	HEAT_HIGH_T	HEAT_LOW_T_DHN	HEAT_LOW_T_DECEN	MOB_PUBLIC	MOB_PRIVATE	MOB_FREIGHT_RAIL	MOB_FREIGHT_BOAT	MOB_FREIGHT_ROAD	NON_ENERGY
 RES_HYDRO 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	508.7808	0	0	0	0	0	0	0	0	0	0	0	0	0
 RES_GEO 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 CO2_ATM 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 CO2_INDUSTRY 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 CO2_CAPTURED 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 NUCLEAR 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 CCGT 	13252.80898	0	0	0	-21036.18369	0	0	0	0	0	0	0	0	0	0	0	0	4207.236738	0	0	0	0	0	0	0	0	0	0
 COAL_US 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 COAL_IGCC 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 PV 	61534.84987	0	0	0	0	0	0	0	0	0	0	0	0	-61534.84987	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 WIND_ONSHORE 	21309.16385	0	0	0	0	0	0	0	0	0	0	0	-21309.16385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 WIND_OFFSHORE 	12632.6373	0	0	0	0	0	0	0	0	0	0	0	-12632.6373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 HYDRO_RIVER 	508.7808	0	0	0	0	0	0	0	0	0	0	0	0	0	-508.7808	0	0	0	0	0	0	0	0	0	0	0	0	0
 GEOTHERMAL 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 IND_COGEN_GAS 	46496.77388	0	0	0	-105676.2538	0	0	0	0	0	0	0	0	0	0	0	0	21135.25075	0	48611.3684	0	0	0	0	0	0	0	0
 IND_COGEN_WOOD 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 IND_COGEN_WASTE 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 IND_BOILER_GAS 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 IND_BOILER_WOOD 	0	0	0	0	0	0	-8251.466934	0	0	0	0	0	0	0	0	0	0	3218.072104	0	7133.010835	0	0	0	0	0	0	0	0
 IND_BOILER_OIL 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 IND_BOILER_COAL 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 IND_BOILER_WASTE 	0	0	0	0	0	0	0	0	0	0	-9333	0	0	0	0	0	0	0	0	7653.136531	0	0	0	0	0	0	0	0
 IND_DIRECT_ELEC 	-1923.70656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1923.70656	0	0	0	0	0	0	0	0
 DHN_HP_ELEC 	-14453.16999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57812.67996	0	0	0	0	0	0	0
 DHN_COGEN_GAS 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 DHN_COGEN_WOOD 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 DHN_COGEN_WET_BIOMASS 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 DHN_COGEN_WASTE 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 DHN_BOILER_GAS 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 DHN_BOILER_WOOD 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 DHN_BOILER_OIL 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 DHN_DEEP_GEO 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 DHN_SOLAR 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 DEC_HP_ELEC 	-28014.36816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84051.50964	0	0	0	0	0	0
 DEC_THHP_GAS 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 DEC_COGEN_GAS 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 DEC_COGEN_OIL 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 DEC_ADVCOGEN_GAS 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 DEC_ADVCOGEN_H2 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 DEC_BOILER_GAS 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 DEC_BOILER_WOOD 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 DEC_BOILER_OIL 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 DEC_SOLAR 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 DEC_DIRECT_ELEC 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 TRAMWAY_TROLLEY	-1603.410768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9700.004647	0	0	0	0	0
 BUS_COACH_DIESEL 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 BUS_COACH_HYDIESEL 	0	0	-5319.482549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29100.01394	0	0	0	0	0
 BUS_COACH_CNG_STOICH 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 BUS_COACH_FC_HYBRIDH2 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 TRAIN_PUB 	-5336.942557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58200.02788	0	0	0	0	0
 CAR_GASOLINE 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 CAR_DIESEL 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 CAR_NG 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 CAR_HEV 	0	-5482.142282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22185.92587	0	0	0	0
 CAR_PHEV 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 CAR_BEV 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 CAR_FUEL_CELL 	0	0	0	0	0	0	0	0	0	0	0	-13421.65324	0	0	0	0	0	0	0	0	0	0	0	74814.1206	0	0	0	0
 TRAIN_FREIGHT 	-1673.346319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24499.9461	0	0	0
 BOAT_FREIGHT_DIESEL 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 BOAT_FREIGHT_NG 	0	0	0	0	-3616.192044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29399.93532	0	0
 TRUCK_DIESEL 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 TRUCK_FUEL_CELL 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 TRUCK_NG 	0	0	0	0	-26018.94276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44099.90298	0
 NON_ENERGY_OIL 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 NON_ENERGY_NG 	0	0	0	0	-102332.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102332.37
 EFFICIENCY 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 DHN 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 GRID 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 H2_ELECTROLYSIS 	-2815.73757	0	0	0	0	0	0	0	0	0	0	2393.317102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 H2_NG 	0	0	0	0	-15077.52746	0	0	0	0	0	0	11049.04548	0	0	0	0	0	3015.505491	0	0	0	0	0	0	0	0	0	0
 H2_BIOMASS 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 GASIFICATION_SNG 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 PYROLYSIS 	130.474986	0	0	0	0	5482.142282	-8232.533066	0	0	0	0	0	0	0	0	0	0	1605.343948	0	0	0	0	0	0	0	0	0	0
 ATM_CCS 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 INDUSTRY_CCS 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 SYN_METHANOLATION 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 SYN_METHANATION 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 BIOMETHANATION 	0	0	0	0	12811.5846	0	0	-13716.9	0	0	0	0	0	0	0	0	0	2674.795496	0	0	0	0	0	0	0	0	0	0
 SLF_TO_DIESEL 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 SLF_TO_GASOLINE 	0	5482.142282	0	0	0	-5482.142282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 SLF_TO_LFO 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 PHS 	-2.592864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 BATT_LI 	-827.907073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 BEV_BATT 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 PHEV_BATT 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 TS_DEC_HP_ELEC 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-602.62375	0	0	0	0	0	0
 TS_DEC_DIRECT_ELEC 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 TS_DHN_DAILY 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 TS_DHN_SEASONAL 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5912.382823	0	0	0	0	0	0	0
 TS_DEC_THHP_GAS 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 TS_DEC_COGEN_GAS 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 TS_DEC_COGEN_OIL 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 TS_DEC_ADVCOGEN_GAS 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 TS_DEC_ADVCOGEN_H2 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 TS_DEC_BOILER_GAS 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 TS_DEC_BOILER_WOOD 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 TS_DEC_BOILER_OIL 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 SEASONAL_NG 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 SEASONAL_H2 	0	0	0	0	0	0	0	0	0	0	0	-20.709341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 CO2_STORAGE 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 SLF_STO 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 END_USES_DEMAND 	99214.30779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65321.22233	51900.29714	83448.88589	97000.04647	97000.04647	24499.9461	29399.93532	44099.90298	102332.37
